,products,date,vendor
0,"('1  Chk Temp Roll ', 6.5)",2022-04-09,
1,"('1  D Chicken Teriyaki ', 15.95)",2022-04-09,
2,"('1  Coke ', 2.5)",2022-04-09,
3,"('1  D Chicken Katsu ', 15.95)",2022-04-09,
4,"('Fried Rice ', 2.0)",2022-04-09,
5,"('1  California Roll ', 5.25)",2022-04-09,
6,"('1  Chk Temp Roll ', 6.5)",2022-04-09,
7,"('1  Miso Soup ', 1.95)",2022-04-09,
