,products,date,vendor
0,"('Garlicky Chicken', 14.49)",2022-04-26,
1,"('Kids Bow', 1.99)",2022-04-26,
2,"('Sd Roast Veg', 3.99)",2022-04-26,
3,"('Take Out Kids Bow', 5.99)",2022-04-26,
4,"('Heaped Hummus', 7.49)",2022-04-26,
